category,quantity,consumption_rate,days_to_expiry,price_per_unit,stock_level,risk_label
Fruits,75,12.49,20,284.38,75,Safe
Bakery,171,10.59,3,73.89,171,Moderate Risk
Vegetables,156,19.42,8,170.63,156,Safe
Fruits,75,17.28,19,432.55,75,Safe
Fruits,11,4.88,24,458.7,11,Safe
Dairy,132,1.49,20,119.05,132,High Risk
Seafood,59,8.99,16,288.86,59,Safe
Bakery,72,15.89,17,323.72,72,Safe
Fruits,6,9.46,23,256.05,6,Safe
Meat,156,17.31,3,23.42,156,Moderate Risk
Dairy,41,14.41,7,297.86,41,Safe
Bakery,8,4.14,8,121.23,8,Safe
Vegetables,181,24.5,8,270.98,181,Safe
Seafood,175,19.54,25,89.96,175,Safe
Meat,98,13.24,16,415.43,98,Safe
Bakery,67,18.25,11,345.86,67,Safe
Vegetables,105,16.48,30,393.1,105,Safe
Vegetables,30,13.11,23,390.51,30,Safe
Dairy,165,15.86,25,447.5,165,Safe
Dairy,98,14.49,1,340.18,98,High Risk
Vegetables,72,24.48,2,424.27,72,High Risk
Seafood,158,2.17,19,260.28,158,High Risk
Fruits,107,7.58,3,34.25,107,Moderate Risk
Dairy,62,1.71,20,139.35,62,Safe
Vegetables,97,22.57,2,269.76,97,High Risk
Bakery,142,12.72,10,320.68,142,Safe
Bakery,59,8.27,9,109.67,59,Safe
Dairy,128,11.49,28,358.05,128,Safe
Vegetables,15,13.64,22,267.91,15,Safe
Meat,109,6.88,14,156.69,109,Moderate Risk
Fruits,66,11.81,25,350.52,66,Safe
Vegetables,5,14.12,14,236.77,5,Safe
Bakery,48,14.21,24,200.02,48,Safe
Fruits,80,19.22,21,430.84,80,Safe
Meat,189,10.03,13,198.13,189,Safe
Bakery,173,7.37,29,303.48,173,Moderate Risk
Meat,77,5.65,29,181.1,77,Safe
Fruits,135,17.97,30,347.89,135,Safe
Vegetables,179,9.4,6,411.19,179,Moderate Risk
Vegetables,77,1.16,29,302.6,77,Safe
Vegetables,141,22.93,18,241.41,141,Safe
Dairy,18,8.18,8,332.26,18,Safe
Seafood,110,13.81,22,41.02,110,Safe
Fruits,79,17.43,21,72.48,79,Safe
Dairy,162,15.46,15,433.14,162,Safe
Meat,10,8.51,18,357.4,10,Safe
Fruits,85,1.46,30,454.06,85,Moderate Risk
Bakery,9,23.17,26,58.83,9,Safe
Bakery,121,14.19,23,71.81,121,Safe
Meat,173,9.61,5,234.71,173,Moderate Risk
Seafood,104,14.04,25,396.08,104,Safe
Meat,159,11.28,19,195.56,159,Safe
Meat,127,4.3,22,101.71,127,High Risk
Dairy,132,9.78,20,363.29,132,Safe
Fruits,77,8.87,11,455.43,77,Safe
Bakery,93,11.58,12,228.02,93,Safe
Seafood,18,14.16,26,413.08,18,Safe
Vegetables,28,16.29,14,252.28,28,Safe
Dairy,181,16.09,25,221.8,181,Safe
Dairy,107,4.19,30,72.87,107,Moderate Risk
Meat,148,6.91,5,150.74,148,Moderate Risk
Bakery,142,13.82,4,424.06,142,Moderate Risk
Meat,44,3.69,5,227.5,44,Moderate Risk
Bakery,94,1.26,28,125.02,94,Moderate Risk
Meat,157,7.41,25,13.14,157,Moderate Risk
Seafood,59,3.88,10,130.41,59,Safe
Seafood,62,13.17,19,414.19,62,Safe
Dairy,36,11.58,1,402.75,36,High Risk
Vegetables,85,23.84,24,273.81,85,Safe
Seafood,123,11.39,26,343.32,123,Safe
Bakery,77,9.06,8,302.72,77,Safe
Bakery,178,20.51,2,204.64,178,High Risk
Vegetables,154,20.88,16,272.67,154,Safe
Dairy,70,24.78,30,471.24,70,Safe
Fruits,183,20.95,10,275.26,183,Safe
Vegetables,109,4.75,26,235.91,109,Moderate Risk
Vegetables,120,20.91,12,284.06,120,Safe
Dairy,154,8.86,17,473.32,154,Safe
Fruits,163,12.04,24,263.76,163,Safe
Dairy,102,4.01,25,111.98,102,Moderate Risk
Vegetables,120,1.15,26,498.2,120,Moderate Risk
Bakery,139,4.99,20,294.02,139,High Risk
Bakery,131,7.32,28,372.66,131,Moderate Risk
Fruits,139,17.73,9,18.38,139,Safe
Fruits,179,1.12,25,288.13,179,High Risk
Vegetables,42,13.48,7,154.04,42,Safe
Vegetables,111,22.38,28,253.69,111,Safe
Bakery,73,1.36,18,362.18,73,Safe
Bakery,112,13.17,23,472.69,112,Safe
Seafood,160,12.93,28,366.95,160,Safe
Meat,139,13.35,11,361.12,139,Safe
Dairy,186,17.49,5,431.71,186,Moderate Risk
Fruits,122,11.14,10,232.65,122,Safe
Dairy,8,16.2,27,343.12,8,Safe
Meat,187,21.0,22,449.96,187,Safe
Bakery,132,20.62,11,360.94,132,Safe
Fruits,195,13.03,21,165.32,195,Safe
Fruits,164,22.55,27,399.39,164,Safe
Vegetables,99,1.11,5,441.47,99,Moderate Risk
Dairy,67,18.03,30,176.8,67,Safe
Vegetables,132,2.34,9,295.05,132,High Risk
Bakery,152,11.02,20,27.68,152,Safe
Fruits,159,15.78,12,17.34,159,Safe
Bakery,21,12.05,9,12.4,21,Safe
Dairy,126,3.96,4,310.55,126,High Risk
Fruits,68,21.86,7,303.5,68,Safe
Dairy,191,23.04,14,164.06,191,Safe
Meat,23,7.47,15,22.59,23,Safe
Vegetables,149,16.02,10,297.35,149,Safe
Vegetables,131,6.7,6,304.08,131,Moderate Risk
Seafood,139,19.55,14,274.96,139,Safe
Bakery,126,11.5,15,319.48,126,Safe
Fruits,149,15.49,4,337.12,149,Moderate Risk
Meat,38,17.42,14,366.94,38,Safe
Bakery,156,11.33,14,427.88,156,Safe
Seafood,151,8.22,10,326.63,151,Safe
Fruits,118,13.78,4,276.79,118,Moderate Risk
Dairy,148,11.0,30,403.7,148,Safe
Seafood,85,4.69,27,26.71,85,Moderate Risk
Vegetables,41,24.2,9,336.58,41,Safe
Vegetables,24,2.92,2,300.37,24,High Risk
Seafood,194,5.03,25,108.39,194,Moderate Risk
Bakery,23,20.45,4,250.84,23,Moderate Risk
Fruits,83,7.52,29,250.65,83,Moderate Risk
Dairy,136,16.28,11,177.39,136,Safe
Meat,126,14.03,5,249.83,126,Moderate Risk
Meat,125,22.89,27,28.19,125,Safe
Meat,55,10.3,10,93.16,55,Safe
Vegetables,95,1.86,12,200.88,95,Moderate Risk
Fruits,126,23.57,22,177.88,126,Safe
Vegetables,45,17.51,16,324.37,45,Safe
Seafood,152,11.55,13,209.25,152,Safe
Seafood,25,13.12,11,435.73,25,Safe
Fruits,154,19.14,26,478.39,154,Safe
Dairy,119,9.78,10,31.16,119,Safe
Fruits,83,6.81,3,91.12,83,Moderate Risk
Dairy,74,20.01,11,134.8,74,Safe
Dairy,27,16.02,6,115.67,27,Moderate Risk
Seafood,68,21.36,28,413.75,68,Safe
Fruits,65,16.51,2,482.21,65,High Risk
Bakery,157,9.7,10,247.32,157,Safe
Bakery,167,20.89,15,189.11,167,Safe
Seafood,188,3.37,21,65.01,188,High Risk
Dairy,129,6.4,2,397.07,129,High Risk
Dairy,27,6.42,1,258.14,27,High Risk
Meat,154,19.11,8,12.53,154,Safe
Meat,103,14.76,14,456.4,103,Safe
Seafood,99,12.72,27,262.02,99,Safe
Bakery,55,5.27,18,197.92,55,Safe
Bakery,120,24.24,3,428.83,120,Moderate Risk
Fruits,53,14.97,21,135.86,53,Safe
Vegetables,17,22.53,28,405.56,17,Safe
Seafood,197,18.78,16,184.31,197,Safe
Vegetables,130,7.61,15,371.34,130,Moderate Risk
Fruits,140,21.35,27,486.5,140,Safe
Vegetables,44,5.52,15,34.61,44,Safe
Fruits,168,8.16,7,280.3,168,Safe
Vegetables,130,17.22,11,227.98,130,Safe
Vegetables,77,9.32,12,444.12,77,Safe
Bakery,49,10.57,9,164.36,49,Safe
Meat,89,17.12,5,129.26,89,Moderate Risk
Meat,98,13.68,3,109.06,98,Moderate Risk
Meat,85,22.23,12,321.77,85,Safe
Meat,181,12.41,4,38.38,181,Moderate Risk
Meat,94,4.58,21,217.16,94,Moderate Risk
Vegetables,152,17.26,11,337.85,152,Safe
Dairy,126,11.99,18,238.82,126,Safe
Meat,76,1.4,7,387.71,76,Safe
Seafood,22,10.22,28,180.6,22,Safe
Meat,112,24.99,18,401.6,112,Safe
Meat,167,15.84,8,50.13,167,Safe
Dairy,139,3.97,12,182.46,139,High Risk
Vegetables,164,18.16,15,151.6,164,Safe
Seafood,39,3.43,22,143.57,39,Safe
Seafood,42,8.76,25,158.74,42,Safe
Vegetables,107,1.37,22,231.04,107,Moderate Risk
Fruits,69,6.53,7,11.9,69,Safe
Bakery,170,20.73,16,123.92,170,Safe
Vegetables,128,21.6,1,140.7,128,High Risk
Fruits,102,3.35,12,463.74,102,Moderate Risk
Dairy,152,17.69,8,142.86,152,Safe
Fruits,198,17.24,2,34.99,198,High Risk
Meat,200,6.81,28,293.46,200,Moderate Risk
Meat,86,9.23,6,236.93,86,Moderate Risk
Dairy,72,13.95,17,214.01,72,Safe
Bakery,158,5.47,29,161.25,158,Moderate Risk
Seafood,164,6.29,28,102.52,164,Moderate Risk
Seafood,41,17.87,13,396.2,41,Safe
Bakery,168,21.19,11,40.41,168,Safe
Bakery,71,14.89,18,360.54,71,Safe
Fruits,27,14.09,25,402.47,27,Safe
Dairy,171,21.81,24,374.28,171,Safe
Seafood,184,13.03,20,464.56,184,Safe
Seafood,144,13.13,5,244.4,144,Moderate Risk
Meat,106,14.73,25,377.04,106,Safe
Vegetables,198,15.03,13,125.39,198,Safe
Seafood,55,9.0,21,19.72,55,Safe
Bakery,43,6.92,21,371.83,43,Safe
Bakery,109,22.64,4,163.5,109,Moderate Risk
Vegetables,59,15.49,3,468.24,59,Moderate Risk
Bakery,148,18.15,3,480.8,148,Moderate Risk
Seafood,159,18.55,21,198.99,159,Safe
Fruits,188,13.01,27,468.23,188,Safe
Bakery,72,24.09,20,383.88,72,Safe
Fruits,79,21.56,15,237.32,79,Safe
Meat,52,15.48,23,30.19,52,Safe
Fruits,195,18.2,24,331.65,195,Safe
Dairy,18,12.47,8,118.71,18,Safe
Seafood,15,13.4,5,122.1,15,Moderate Risk
Bakery,41,9.75,23,87.57,41,Safe
Vegetables,6,10.23,23,396.23,6,Safe
Meat,110,13.0,3,57.2,110,Moderate Risk
Meat,59,18.25,27,483.72,59,Safe
Meat,91,17.3,23,210.93,91,Safe
Bakery,80,10.5,26,458.35,80,Safe
Meat,142,1.51,6,88.72,142,High Risk
Meat,153,20.25,14,183.53,153,Safe
Seafood,67,6.61,19,38.69,67,Safe
Fruits,169,1.81,26,475.02,169,High Risk
Bakery,15,3.43,24,324.35,15,Safe
Meat,98,20.94,1,88.15,98,High Risk
Fruits,77,22.29,1,228.25,77,High Risk
Bakery,139,19.24,8,448.99,139,Safe
Bakery,107,20.69,9,374.57,107,Safe
Bakery,149,4.01,18,233.58,149,High Risk
Fruits,77,1.44,20,105.41,77,Safe
Seafood,150,19.62,21,175.1,150,Safe
Meat,59,15.97,10,251.69,59,Safe
Bakery,19,24.13,4,156.62,19,Moderate Risk
Meat,73,21.73,21,136.61,73,Safe
Fruits,76,4.59,17,263.24,76,Safe
Seafood,86,23.07,2,479.61,86,High Risk
Bakery,47,3.45,5,310.34,47,Moderate Risk
Fruits,78,10.42,22,278.49,78,Safe
Bakery,43,19.63,23,306.02,43,Safe
Seafood,16,2.15,13,317.27,16,Safe
Meat,36,3.8,27,270.48,36,Safe
Fruits,100,9.55,13,152.95,100,Safe
Dairy,161,5.09,6,231.56,161,Moderate Risk
Vegetables,60,3.78,19,47.45,60,Safe
Vegetables,165,16.56,20,185.58,165,Safe
Dairy,22,8.15,11,373.16,22,Safe
Fruits,140,4.33,2,15.3,140,High Risk
Dairy,113,17.25,4,128.97,113,Moderate Risk
Seafood,80,9.3,28,452.27,80,Safe
Vegetables,150,10.05,22,12.93,150,Safe
Vegetables,193,2.77,30,127.35,193,High Risk
Seafood,22,19.71,15,257.87,22,Safe
Vegetables,87,19.95,16,462.4,87,Safe
Vegetables,28,15.57,1,314.78,28,High Risk
Dairy,98,12.24,1,98.1,98,High Risk
Dairy,196,20.99,29,308.27,196,Safe
Meat,21,6.6,16,262.04,21,Safe
Fruits,71,15.86,5,192.21,71,Moderate Risk
Dairy,14,15.41,10,121.88,14,Safe
Fruits,87,18.77,28,168.07,87,Safe
Seafood,71,15.95,26,95.15,71,Safe
Bakery,95,14.67,14,314.34,95,Safe
Meat,51,22.63,22,93.81,51,Safe
Bakery,76,17.36,19,89.31,76,Safe
Fruits,103,12.07,19,108.17,103,Safe
Seafood,16,23.18,19,77.18,16,Safe
Meat,32,16.39,4,354.18,32,Moderate Risk
Dairy,99,6.68,16,414.04,99,Moderate Risk
Vegetables,119,12.8,2,329.67,119,High Risk
Seafood,134,10.81,4,250.21,134,Moderate Risk
Vegetables,182,1.92,19,95.99,182,High Risk
Fruits,61,23.78,2,369.03,61,High Risk
Meat,28,9.94,12,131.86,28,Safe
Meat,155,8.94,9,439.37,155,Safe
Fruits,47,19.08,20,236.5,47,Safe
Fruits,69,7.99,12,422.46,69,Safe
Dairy,155,5.78,2,390.58,155,High Risk
Fruits,70,9.05,8,455.48,70,Safe
Seafood,57,12.17,4,136.84,57,Moderate Risk
Bakery,163,16.49,16,316.64,163,Safe
Meat,59,19.65,22,362.91,59,Safe
Fruits,87,9.58,14,485.75,87,Safe
Vegetables,114,22.7,8,205.61,114,Safe
Vegetables,135,16.04,8,213.59,135,Safe
Seafood,32,11.03,9,320.47,32,Safe
Bakery,159,3.87,20,456.51,159,High Risk
Seafood,91,23.74,28,194.72,91,Safe
Meat,50,14.25,3,56.91,50,Moderate Risk
Meat,80,10.76,11,473.41,80,Safe
Dairy,24,10.51,23,77.19,24,Safe
Seafood,122,20.3,12,284.14,122,Safe
Fruits,155,13.42,9,283.89,155,Safe
Dairy,63,4.43,17,129.55,63,Safe
Seafood,183,19.97,13,301.59,183,Safe
Vegetables,20,3.24,8,240.08,20,Safe
Bakery,189,22.79,24,432.4,189,Safe
Seafood,88,8.88,21,346.26,88,Safe
Vegetables,114,11.1,16,45.92,114,Safe
Seafood,43,14.29,22,14.38,43,Safe
Bakery,24,21.61,30,452.62,24,Safe
Dairy,36,24.11,18,342.77,36,Safe
Dairy,6,20.11,9,299.72,6,Safe
Bakery,135,12.0,21,464.44,135,Safe
Meat,48,7.32,3,476.34,48,Moderate Risk
Meat,198,23.37,30,221.24,198,Safe
Fruits,124,19.31,2,241.09,124,High Risk
Seafood,156,7.24,4,281.5,156,Moderate Risk
Meat,55,11.84,21,292.72,55,Safe
Meat,130,15.95,17,492.99,130,Safe
Dairy,40,22.79,21,437.74,40,Safe
Bakery,35,21.27,19,407.35,35,Safe
Meat,62,20.04,24,480.59,62,Safe
Bakery,9,23.12,26,365.54,9,Safe
Seafood,173,10.69,10,35.14,173,Safe
Fruits,184,21.41,13,262.86,184,Safe
Seafood,80,10.92,24,155.68,80,Safe
Seafood,64,5.36,23,258.88,64,Safe
Bakery,18,7.5,27,441.5,18,Safe
Meat,168,20.47,10,463.7,168,Safe
Seafood,110,13.27,7,225.32,110,Safe
Fruits,62,14.03,3,83.81,62,Moderate Risk
Seafood,162,21.86,25,313.37,162,Safe
Fruits,54,10.78,24,64.37,54,Safe
Seafood,46,22.13,20,340.16,46,Safe
Fruits,42,6.07,4,13.87,42,Moderate Risk
Seafood,85,18.69,1,274.32,85,High Risk
Seafood,48,17.08,25,390.92,48,Safe
Bakery,97,15.1,12,215.9,97,Safe
Dairy,45,17.83,22,42.04,45,Safe
Vegetables,49,22.09,29,228.5,49,Safe
Fruits,46,4.83,19,24.7,46,Safe
Fruits,123,21.61,14,234.41,123,Safe
Fruits,174,16.42,28,495.6,174,Safe
Vegetables,136,8.74,6,359.37,136,Moderate Risk
Vegetables,179,23.21,24,290.22,179,Safe
Fruits,137,10.92,1,194.11,137,High Risk
Vegetables,20,10.39,10,306.65,20,Safe
Seafood,169,20.39,20,228.23,169,Safe
Fruits,176,13.27,14,461.09,176,Safe
Vegetables,8,16.17,21,227.14,8,Safe
Dairy,9,21.3,7,227.01,9,Safe
Fruits,82,11.97,12,246.27,82,Safe
Dairy,76,1.67,24,133.88,76,Safe
Fruits,28,7.43,13,215.02,28,Safe
Dairy,118,1.2,11,195.71,118,Moderate Risk
Meat,183,23.65,15,114.22,183,Safe
Vegetables,62,17.15,16,251.08,62,Safe
Fruits,120,2.95,4,192.33,120,Moderate Risk
Bakery,81,16.63,13,227.11,81,Safe
Vegetables,31,11.62,10,171.18,31,Safe
Vegetables,107,21.67,6,328.1,107,Moderate Risk
Seafood,152,19.86,22,373.13,152,Safe
Dairy,111,9.88,19,215.82,111,Safe
Vegetables,185,7.29,7,458.13,185,Moderate Risk
Bakery,45,20.48,24,326.94,45,Safe
Fruits,82,21.31,29,38.66,82,Safe
Dairy,36,19.1,27,266.13,36,Safe
Vegetables,183,23.92,10,423.38,183,Safe
Meat,15,21.56,1,367.88,15,High Risk
Vegetables,96,4.51,4,467.64,96,Moderate Risk
Fruits,134,11.63,27,17.4,134,Safe
Dairy,33,21.56,8,455.01,33,Safe
Seafood,177,11.7,25,354.63,177,Safe
Bakery,41,13.18,5,88.43,41,Moderate Risk
Fruits,23,17.69,10,181.19,23,Safe
Meat,156,22.72,27,35.46,156,Safe
Dairy,38,5.27,26,239.85,38,Safe
Seafood,106,20.37,16,417.19,106,Safe
Seafood,40,18.93,26,280.72,40,Safe
Meat,95,19.15,26,162.77,95,Safe
Vegetables,84,16.66,7,213.74,84,Safe
Bakery,129,12.22,25,236.99,129,Safe
Seafood,43,16.66,27,410.44,43,Safe
Dairy,118,19.77,26,214.06,118,Safe
Dairy,156,14.03,17,125.47,156,Safe
Seafood,119,15.48,1,426.6,119,High Risk
Meat,37,7.26,15,82.73,37,Safe
Fruits,177,23.81,14,84.23,177,Safe
Meat,143,22.96,20,317.22,143,Safe
Vegetables,144,2.97,16,330.59,144,High Risk
Seafood,85,6.89,1,292.8,85,High Risk
Bakery,25,2.87,30,148.04,25,Safe
Meat,59,19.08,21,424.57,59,Safe
Fruits,192,8.8,10,96.53,192,Safe
Meat,60,24.2,22,186.71,60,Safe
Seafood,169,18.27,15,491.83,169,Safe
Fruits,99,13.0,17,47.42,99,Safe
Fruits,148,20.72,17,271.97,148,Safe
Seafood,102,1.46,11,14.66,102,Moderate Risk
Seafood,170,14.25,11,362.56,170,Safe
Meat,71,2.35,4,296.97,71,Moderate Risk
Seafood,79,6.89,16,462.23,79,Safe
Seafood,154,21.61,15,115.24,154,Safe
Dairy,194,23.48,11,64.72,194,Safe
Vegetables,72,7.89,23,486.05,72,Safe
Dairy,36,18.46,6,302.43,36,Moderate Risk
Dairy,102,16.98,23,135.91,102,Safe
Meat,20,12.79,28,16.12,20,Safe
Bakery,169,12.06,21,171.0,169,Safe
Fruits,109,4.67,20,284.11,109,Moderate Risk
Fruits,111,4.95,1,116.43,111,High Risk
Seafood,127,21.1,12,377.39,127,Safe
Bakery,72,8.86,5,176.66,72,Moderate Risk
Meat,25,21.41,27,236.03,25,Safe
Bakery,5,15.84,1,466.69,5,High Risk
Dairy,177,7.7,28,368.86,177,Moderate Risk
Vegetables,20,9.43,17,298.68,20,Safe
Seafood,157,2.1,29,29.98,157,High Risk
Bakery,21,1.81,24,431.85,21,Safe
Meat,170,1.46,2,127.92,170,High Risk
Seafood,117,5.81,23,437.28,117,Moderate Risk
Vegetables,88,12.58,17,174.76,88,Safe
Bakery,23,19.89,16,468.3,23,Safe
Bakery,95,14.9,2,226.89,95,High Risk
Vegetables,154,13.3,1,257.11,154,High Risk
Meat,85,14.3,1,94.13,85,High Risk
Meat,19,8.4,11,176.78,19,Safe
Bakery,60,3.81,20,76.35,60,Safe
Vegetables,173,5.13,23,375.32,173,Moderate Risk
Dairy,54,15.92,18,281.7,54,Safe
Bakery,34,17.86,16,461.82,34,Safe
Dairy,115,8.93,19,431.48,115,Safe
Seafood,11,18.18,12,435.02,11,Safe
Seafood,12,10.86,23,15.04,12,Safe
Fruits,161,15.59,15,175.62,161,Safe
Meat,106,2.92,13,430.69,106,Moderate Risk
Bakery,161,4.61,26,426.01,161,High Risk
Meat,82,10.64,7,427.27,82,Safe
Bakery,13,10.46,12,217.77,13,Safe
Meat,54,12.51,11,236.46,54,Safe
Meat,98,2.96,15,98.74,98,Moderate Risk
Meat,71,20.38,19,443.26,71,Safe
Seafood,55,16.82,23,127.09,55,Safe
Seafood,117,11.97,24,238.8,117,Safe
Bakery,93,1.82,4,188.12,93,Moderate Risk
Fruits,83,3.17,14,131.89,83,Moderate Risk
Seafood,59,21.98,13,60.52,59,Safe
Vegetables,114,3.82,13,347.54,114,Moderate Risk
Vegetables,119,9.63,6,87.52,119,Moderate Risk
Vegetables,160,23.45,4,433.56,160,Moderate Risk
Bakery,200,18.14,15,194.88,200,Safe
Vegetables,126,6.22,26,25.95,126,Moderate Risk
Fruits,70,7.3,25,367.79,70,Safe
Seafood,108,15.15,11,32.26,108,Safe
Vegetables,8,11.2,16,16.03,8,Safe
Dairy,87,6.26,8,63.74,87,Moderate Risk
Fruits,184,22.11,18,146.21,184,Safe
Vegetables,155,22.08,21,142.39,155,Safe
Dairy,137,21.4,20,457.79,137,Safe
Fruits,122,10.62,6,351.98,122,Moderate Risk
Fruits,186,24.2,26,70.4,186,Safe
Fruits,147,15.78,5,290.93,147,Moderate Risk
Seafood,77,11.03,11,263.92,77,Safe
Fruits,163,20.82,1,284.38,163,High Risk
Seafood,9,15.58,7,464.45,9,Safe
Bakery,148,10.62,6,439.6,148,Moderate Risk
Meat,193,19.22,17,154.51,193,Safe
Fruits,28,23.17,2,89.11,28,High Risk
Meat,35,13.03,2,165.65,35,High Risk
Fruits,140,22.05,15,184.0,140,Safe
Meat,20,21.77,22,438.68,20,Safe
Vegetables,193,23.46,17,282.88,193,Safe
Seafood,79,6.71,23,280.75,79,Safe
Seafood,132,13.83,29,137.88,132,Safe
Bakery,10,16.69,3,334.12,10,Moderate Risk
Bakery,189,18.59,21,109.95,189,Safe
Meat,198,18.64,12,451.24,198,Safe
Vegetables,47,5.76,24,35.35,47,Safe
Vegetables,77,12.12,2,101.99,77,High Risk
Bakery,60,7.73,29,381.5,60,Safe
Dairy,17,12.56,14,82.73,17,Safe
Seafood,155,19.83,4,267.04,155,Moderate Risk
Fruits,103,1.1,7,59.73,103,Moderate Risk
Seafood,52,10.92,5,259.89,52,Moderate Risk
Fruits,141,23.05,26,357.57,141,Safe
Fruits,136,2.17,21,138.05,136,High Risk
Vegetables,64,18.24,26,315.33,64,Safe
Seafood,155,18.48,25,48.15,155,Safe
Meat,64,7.09,14,27.97,64,Safe
Dairy,84,4.67,1,213.44,84,High Risk
Bakery,27,19.2,1,363.99,27,High Risk
Seafood,176,2.22,25,195.16,176,High Risk
Dairy,12,4.76,22,212.59,12,Safe
